domain;supergroup;division;subdivision;phylum;class;order;family;genus;species;accesion;Completeness
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_engbergi;MN444824;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_fontourai;OP561784;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_glebkai;MW246134;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_hannae;MH057764;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_hufelandi;KC146115;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_hufelandi;JX865315;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_hufelandi;OP013283;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_hufelandi;JX865312;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_hufelandi;MW727962;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_hufelandi;KC146114;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_hufelandi;KC146122;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_hufelandi;MW727983;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_kamilae;MK737920;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_kirghizicus;MZ461002;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_kosmali;OP141639;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_kristenseni;KC193575;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_kyoukenus;ON809461;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_macrocalix;FJ176203;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_macrocalix;JX683814;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_margoae;MN888315;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_muralis;OP561785;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_noongaris;MK737919;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_pallarii;MT807924;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_pallarii;FJ435807;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_papei;MH057763;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_paulinae;KT951668;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_persimilis;EU244608;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_polypiformis;KX810011;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_pseudopallarii;MN888316;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Macrobiotidae;Macrobiotus;Macrobiotus_rebecchii;OP477442;partial
