Sequence Name;Group
BK6SA1_3_11316;1394
BK6SA1_3_11375;1394
BK6SA1_3_11465;1394
BK6SA1_3_11554;1394
BK6SA1_3_11649;1394
BK6SA1_3_11814;1394
BK6SA1_3_12008;1394
BK6SA1_3_12120;1394
BK6SA1_4_435;1394
BK6SA1_4_1171;1394
BK6SA1_4_1490;1394
BK6SA1_4_1881;1394
BK6SA1_4_2024;1394
BK6SA1_4_2597;1394
BK6SA1_4_2726;1394
BK6SA1_4_2984;1394
BK6SA1_4_3060;1394
BK6SA1_4_3068;1394
BK6SA1_4_3288;1394
BK6SA1_4_3340;1394
BK6SA1_5_371;1394
BK6SA1_5_819;1394
BK6SA1_5_1012;1394
BK6SA1_5_1368;1394
BK6SA1_5_1460;1394
BK6SA1_5_1640;1394
BK6SA1_5_1821;1394
BK6SB1_1_530;1394
BK6SB1_1_544;1394
BK6SB1_1_1645;1394
BK6SB1_1_2198;1394
BK6SB1_1_2352;1394
BK6SB1_1_2677;1394
BK6SB1_1_2883;1394
BK6SB1_1_3448;1394
BK6SB1_1_3689;1394
BK6SB1_1_3786;1394
BK6SB1_1_4128;1394
BK6SB1_1_4279;1394
BK6SB1_1_4401;1394
BK6SB1_1_4408;1394
BK6SB1_1_4432;1394
BK6SB1_1_4484;1394
BK6SB1_1_4807;1394
BK6SB1_1_4858;1394
BK6SB1_1_4897;1394
BK6SB1_1_4970;1394
BK6SB1_1_5084;1394
BK6SB1_1_5126;1394
BK6SB1_1_5132;1394
BK6SB1_1_5151;1394
BK6SB1_1_5171;1394
BK6SB1_1_5191;1394
BK6SB1_1_5199;1394
BK6SB1_1_5277;1394
BK6SB1_1_5333;1394
BK6SB1_1_5367;1394
BK6SB1_1_5580;1394
BK6SB1_1_5754;1394
BK6SB1_1_5844;1394
BK6SB1_2_609;1394
BK6SB1_2_1513;1394
BK6SB1_2_1545;1394
BK6SB1_2_2099;1394
BK6SB1_2_2892;1394
BK6SB1_2_3207;1394
BK6SB1_2_3607;1394
BK6SB1_2_3831;1394
BK6SB1_2_3921;1394
BK6SB1_2_4018;1394
BK6SB1_2_4384;1394
BK6SB1_2_4491;1394
BK6SB1_2_4629;1394
BK6SB1_2_4980;1394
BK6SB1_2_4986;1394
BK6SB1_2_5363;1394
BK6SB1_2_5385;1394
BK6SB1_2_5720;1394
BK6SB1_2_5735;1394
BK6SB1_2_5908;1394
BK6SB1_2_6181;1394
BK6SB1_2_6427;1394
BK6SB1_2_6528;1394
BK6SB1_2_6612;1394
BK6SB1_2_6758;1394
BK6SB1_2_6898;1394
BK6SB1_2_7202;1394
BK6SB1_2_7416;1394
BK6SB1_2_7580;1394
BK6SB1_2_7609;1394
BK6SB1_2_7633;1394
BK6SB1_2_7672;1394
BK6SB1_2_7676;1394
BK6SB1_2_7681;1394
BK6SB1_2_7795;1394
BK6SB1_2_7820;1394
BK6SB1_2_7825;1394
BK6SB1_2_7952;1394
BK6SB1_2_8395;1394
BK6SB1_2_8416;1394
BK6SB1_2_8423;1394
BK6SB1_2_8463;1394
BK6SB1_2_8515;1394
BK6SB1_2_8546;1394
BK6SB1_2_8639;1394
BK6SB1_2_8650;1394
BK6SB1_2_8980;1394
BK6SB1_3_680;1394
BK6SB1_3_702;1394
BK6SB1_3_1813;1394
BK6SB1_3_1851;1394
BK6SB1_3_2518;1394
BK6SB1_3_3568;1394
BK6SB1_3_4643;1394
