Sequence Name;OTU
BK1SB1_1_1782;29
BK1SB1_1_2197;29
BK1SB1_1_2275;29
BK1SB1_1_2327;29
BK1SB1_1_2440;29
BK1SB1_1_2493;29
BK1SB1_1_2553;29
BK1SB1_1_2678;29
BK1SB1_1_3175;29
BK1SB1_1_3249;29
BK1SB1_1_3259;29
BK1SB1_1_3262;29
BK1SB1_1_3316;29
BK1SB1_1_3371;29
BK1SB1_1_3428;29
BK1SB1_1_3506;29
BK1SB1_1_3516;29
BK1SB1_1_3697;29
BK1SB1_1_3729;29
BK1SB1_1_3746;29
BK1SB1_1_3798;29
BK1SB1_1_3810;29
BK1SB1_1_3943;29
BK1SB1_1_4067;29
BK1SB1_2_11;29
BK1SB1_2_94;29
BK1SB1_2_173;29
BK1SB1_2_185;29
BK1SB1_2_370;29
BK1SB1_2_384;29
BK1SB1_2_577;29
BK1SB1_2_600;29
BK1SB1_2_668;29
BK1SB1_2_761;29
BK1SB1_2_861;29
BK1SB1_2_869;29
BK1SB1_2_1020;29
BK1SB1_2_1181;29
BK1SB1_2_1331;29
BK1SB1_2_1968;29
BK1SB1_3_11;29
BK1SB1_3_97;29
BK1SB1_3_170;29
BK1SB1_3_183;29
BK1SB1_3_387;29
BK1SB1_3_569;29
BK1SB1_3_590;29
BK1SB1_3_599;29
BK1SB1_3_603;29
BK1SB1_3_677;29
BK1SB1_3_727;29
BK1SB1_3_849;29
BK1SB1_3_871;29
BK1SB1_3_895;29
BK1SB1_3_928;29
BK1SB1_3_995;29
BK1SB1_3_1028;29
BK1SB1_3_1257;29
BK1SB1_3_1401;29
BK1SB1_3_1633;29
BK1SB1_3_1715;29
BK1SB1_4_12;29
BK1SB1_4_113;29
BK1SB1_4_216;29
BK1SB1_4_519;29
BK1SB1_4_790;29
BK1SB1_4_820;29
BK1SB1_4_861;29
BK1SB1_4_888;29
BK1SB1_4_897;29
BK1SB1_4_953;29
BK1SB1_4_997;29
BK1SB1_4_1059;29
BK1SB1_4_1108;29
BK1SB1_4_1171;29
BK1SB1_4_1197;29
BK1SB1_4_1387;29
BK1SB1_4_1476;29
BK1SB1_4_1566;29
BK1SB1_4_1591;29
BK1SB1_4_1645;29
BK1SB1_4_1740;29
BK1SB1_4_1927;29
BK1SB1_4_2133;29
BK1SB1_4_2350;29
BK1SB1_4_2392;29
BK1SB1_4_2906;29
BK1SB1_4_2954;29
BK1SB1_4_3009;29
BK1SB1_4_3049;29
BK1SB1_4_3142;29
BK1SB1_4_3156;29
